Order,Seasonal_Order,AIC,BIC
"(0, 1, 2)","(2, 1, 2, 12)",2668.942726557205,2698.44498324616
"(0, 1, 2)","(2, 2, 0, 12)",3033.7419257459132,3054.724146384886
"(0, 1, 2)","(2, 2, 1, 12)",2781.170243206549,2806.3489079733163
"(0, 1, 2)","(2, 2, 2, 12)",2686.6180859493534,2715.9502937903253
"(0, 2, 0)","(0, 0, 0, 12)",3641.5157134131778,3645.801711507687
"(0, 2, 0)","(0, 0, 1, 12)",3559.6654617600852,3568.1922582852685
"(0, 2, 0)","(0, 0, 2, 12)",3489.1878313410716,3501.908658876584
"(0, 2, 0)","(0, 1, 0, 12)",3831.7343872636857,3835.9977855262773
"(0, 2, 0)","(0, 1, 1, 12)",3447.6185219840013,3456.099073674343
"(0, 2, 0)","(0, 1, 2, 12)",3352.5243805673663,3365.174198870621
"(0, 2, 0)","(0, 2, 0, 12)",4303.841814468611,4308.082090313782
"(0, 2, 0)","(0, 2, 1, 12)",3701.726448152482,3710.159660354652
"(0, 2, 0)","(0, 2, 2, 12)",3344.934873228407,3357.5119606968315
"(0, 2, 0)","(1, 0, 0, 12)",3563.2389617595836,3571.769564185059
"(0, 2, 0)","(1, 0, 1, 12)",3523.9582125704164,3536.7484073581913
"(0, 2, 0)","(1, 0, 2, 12)",3452.5917965061744,3469.5528998868576
"(0, 2, 0)","(1, 1, 0, 12)",3640.035858426074,3648.520304956984
"(0, 2, 0)","(1, 1, 1, 12)",3449.6182038259176,3462.33903136143
"(0, 2, 0)","(1, 1, 2, 12)",3342.130269697698,3358.9966941020375
"(0, 2, 0)","(1, 2, 0, 12)",3967.295430328614,3975.7326305679976
"(0, 2, 0)","(1, 2, 1, 12)",3601.590606639665,3614.2404249429196
"(0, 2, 0)","(1, 2, 2, 12)",3346.934472041771,3363.7039219996705
"(0, 2, 0)","(2, 0, 0, 12)",3491.7968050549644,3504.52347485133
"(0, 2, 0)","(2, 0, 1, 12)",3458.9782865441484,3475.9471796059693
"(0, 2, 0)","(2, 0, 2, 12)",3445.301521774142,3466.502900999996
"(0, 2, 0)","(2, 1, 0, 12)",3449.78751284028,3462.4433131993555
"(0, 2, 0)","(2, 1, 1, 12)",3387.7456339244945,3404.6200344032613
"(0, 2, 0)","(2, 1, 2, 12)",3344.1138778745576,3365.196908379982
"(0, 2, 0)","(2, 2, 0, 12)",3691.7720771051727,3704.355293278487
"(0, 2, 0)","(2, 2, 1, 12)",3425.372247017248,3442.1498685816664
"(0, 2, 0)","(2, 2, 2, 12)",3348.8840495381705,3369.845861985545
"(0, 2, 1)","(0, 0, 0, 12)",3247.9523074833064,3256.520575805448
